,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
PVPR,9,13,22,49,18,3,123,204,0.5726495726495726,8.359415477136672,0.7343140538965187,-1.6471206739529318,6.427183874585211,27.833802122994484,0.017114401473311558
PVQL,8,7,15,9,8,2,97,75,0.30357142857142855,-2.247655586704603,1.8964437949176407,-0.7498674923141424,-2.818445136125135,-11.131842522167489,-0.19265720882249843
PVQR,3,11,14,39,6,2,25,162,1.3636363636363635,9.432448848902474,-0.2962695730654836,-0.6614706138988025,-0.28542230997964424,17.08949347075847,0.6835915966300656
PVR,7,12,19,19,6,5,72,77,0.2976190476190476,-16.32913672987094,-7.060161252413472,1.1068986502786267,-14.053108068109907,-83.75792389067962,-0.2947100202209116
PVT,7,17,24,66,35,7,125,291,0.8487394957983193,6.36431323407222,13.70405020742642,1.72485908707589,37.588240149492634,55.396423053252136,0.18577089876364816
RIAL,33,23,56,114,85,12,554,280,0.2621870882740448,19.34466197565075,20.562333145680498,-1.142536739450545,71.73414789988567,-51.12722449048863,0.17643448874004608
RIAR,28,23,51,110,58,9,427,258,0.2608695652173913,16.470006440103305,-0.04174939017454449,-2.9485082104730154,20.354092151949146,-72.0293660527081,0.0478124594267913
RIBL,25,28,53,123,78,19,376,407,0.28714285714285714,5.8386630827179715,15.56001254815233,6.385869343710766,13.367406920789733,2.7836959538919928,-0.07293648159641558
RIBR,26,24,50,93,71,17,367,300,0.26282051282051283,-4.941165781327044,13.869459887451413,5.252695288477447,-9.66966050370496,-44.55935328880952,-0.015286301311670136
RICL,17,18,35,63,27,6,194,270,0.29411764705882354,-3.7476857020442367,-8.734942428895529,-1.9396058835197154,-44.9233787111138,17.231575566477375,-0.1283698433015874
RICR,25,23,48,109,45,8,284,375,0.2678260869565217,16.14521311877482,-9.20419891168757,-3.232091093086499,-77.27394129681278,45.629349009960265,-0.021613722588039064
RID,9,1,10,0,0,1,105,6,0.0,17.695135563673098,2.5002065502807795,-0.33022572226636404,-8.312051847660882,9.463369457558283,-0.38600030110895234
RIFL,6,15,21,46,12,3,60,218,0.6444444444444445,-3.68799785861453,-4.722450883680544,-1.4835193818475094,-11.744310287135676,12.554255963235533,-0.015729242163662116
RIFR,11,18,29,61,34,7,154,268,0.4797979797979798,-4.397272344701179,5.9401585280784275,0.4932283512533191,5.8205543913623785,16.549005691814045,-0.09545491807035278
RIGL,17,28,45,140,71,12,212,478,0.4432773109243697,24.63921422584204,18.793480490784262,1.296314990074812,-29.640682275908716,75.54026945434089,-0.12048923782546506
RIGR,25,23,48,94,77,17,298,372,0.29739130434782607,1.1452131187748193,22.79580108831243,5.767908906913501,-63.27394129681278,42.629349009960265,0.007951494803265291
RIH,17,34,51,141,31,10,143,476,0.2975778546712803,-3.5286458174261384,-31.089465757407865,-2.3621324857684733,-100.27106441478566,-16.274514212941085,-0.35095612911220897
RIML,31,29,60,166,125,18,581,395,0.3236929922135706,42.626939718163555,53.237753883146354,3.6766271962971793,127.35174346183408,-25.50286478265832,0.10225115514327698
RIMR,26,23,49,109,72,14,523,284,0.30267558528428096,15.920144225884314,16.51661759548344,2.5291032011179944,146.6020698527745,-45.590222677595875,0.03869667699104046
RIPL,11,1,12,0,0,1,107,2,0.0,17.244997777892074,-0.05816043537720539,-0.807837133857376,-36.560029548486256,5.024226082446056,-0.3350784986063118
RIPR,14,2,16,0,0,2,131,4,0.0,11.708481092009176,-5.542868621896204,-0.8006621638844407,-58.20372645620381,-8.60361959143593,-0.2728237006912934
RIR,16,21,37,87,51,12,213,361,0.4107142857142857,5.893453169212165,11.602767939837406,3.4699760843541476,-11.614580930139567,63.54375542039253,-0.0796178234142727
RIS,15,25,40,130,43,12,259,411,0.4613333333333333,29.67328203325718,-1.7066793994616916,2.6031501395874663,48.422486494355155,53.88680466309404,-0.1109713004023149
RIVL,13,11,24,36,22,5,226,150,0.40559440559440557,4.1817599199973685,2.911895498644597,-0.049527671853860866,49.474689185893425,2.8937765951973518,-0.01984134889868966
