Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_469,0,1.271916,11.574569,Unlabeled,❌
Neuron_470,0,37.752106,6.127326,Unlabeled,❌
Neuron_471,0,32.79549,1.8217667,Unlabeled,❌
Neuron_472,6,-19.449152,4.874232,Unlabeled,❌
Neuron_473,6,-19.51843,-13.708945,Unlabeled,❌
Neuron_474,0,25.411558,-8.257658,Unlabeled,❌
Neuron_475,6,-26.528488,9.354972,Unlabeled,❌
Neuron_476,0,18.589888,-12.504962,Unlabeled,❌
Neuron_477,6,-35.34829,15.865815,Unlabeled,❌
Neuron_478,0,28.52894,-5.175109,Unlabeled,❌
Neuron_479,6,-31.17408,12.699429,Unlabeled,❌
Neuron_480,6,-11.82752,-18.99,Unlabeled,❌
Neuron_481,0,13.086632,-19.578608,Unlabeled,❌
Neuron_482,6,-35.399647,15.589614,Unlabeled,❌
Neuron_483,0,32.638752,1.7856631,Unlabeled,❌
Neuron_484,0,35.86978,20.66941,Unlabeled,❌
Neuron_485,0,32.818974,19.71827,Unlabeled,❌
Neuron_486,0,16.058056,9.862479,Unlabeled,❌
Neuron_487,0,31.474916,4.703916,Unlabeled,❌
Neuron_488,0,0.06391474,-20.973948,Unlabeled,❌
Neuron_489,0,-1.8866674,8.893348,Unlabeled,❌
Neuron_490,0,17.717922,5.8874035,Unlabeled,❌
Neuron_491,0,32.199398,19.27806,Unlabeled,❌
Neuron_492,0,-0.117522515,11.484378,Unlabeled,❌
Neuron_493,0,16.242273,-17.653488,Unlabeled,❌
Neuron_494,6,-25.205162,-6.6773105,Unlabeled,❌
Neuron_495,0,2.8615754,10.749675,Unlabeled,❌
Neuron_496,0,-0.41901672,7.3531456,Unlabeled,❌
Neuron_497,6,-15.194171,6.004698,Unlabeled,❌
Neuron_498,0,34.336277,20.690422,Unlabeled,❌
Neuron_499,0,30.66051,13.104429,Unlabeled,❌
Neuron_500,0,32.80326,20.050327,Unlabeled,❌
Neuron_501,0,36.408333,19.971176,Unlabeled,❌
Neuron_502,0,30.640018,17.949774,Unlabeled,❌
Neuron_503,6,-7.7724023,9.277604,Unlabeled,❌
Neuron_504,0,5.185888,7.795686,Unlabeled,❌
