Neuron,total_3node_motifs,as_source,as_target
 OLQVR         ,78,0,0
 BAGL          ,36,0,0
 URXR          ,210,0,0
 URYVR         ,36,0,0
 AUAR          ,45,0,0
 AIYR          ,66,0,0
 AIZR          ,153,0,0
 ADAR          ,120,0,0
 RIAR          ,630,0,0
 RIH           ,276,0,0
 AVHL          ,136,0,0
 PVPR          ,136,0,0
 SMBDR         ,210,0,0
 SMBVR         ,136,0,0
ADLL ,406,0,0
 ASEL          ,78,0,0
 ASER          ,210,0,0
 ASGL          ,21,0,0
 ASHL          ,45,0,0
 AWAL          ,6,0,0
 AWCL          ,66,0,0
 OLQVL         ,78,0,0
 ALA           ,10,0,0
 RIPL          ,120,0,0
 AVJL          ,325,0,0
 AVJR          ,325,0,0
 AVAL          ,1953,0,0
 AVAR          ,1653,0,0
 AVBL          ,990,0,0
 AVDL          ,703,0,0
 AVDR          ,903,0,0
ADLR ,406,0,0
 ADLR          ,153,0,0
 OLLR          ,190,0,0
 CEPVR         ,190,0,0
 AIAR          ,91,0,0
 RICL          ,136,0,0
 RICR          ,210,0,0
 RIFR          ,105,0,0
 URBR          ,28,0,0
 RIPR          ,136,0,0
 PVCL          ,528,0,0
 AVBR          ,1081,0,0
 SIBVL         ,105,0,0
ASEL ,231,0,0
 ASJL          ,21,0,0
 IL2R          ,15,0,0
 AIYL          ,66,0,0
ASER ,210,0,0
 ASKL          ,36,0,0
ASGL ,45,0,0
 AINR          ,6,0,0
ASGR ,78,0,0
ASHL ,325,0,0
 ADFL          ,36,0,0
 AVFL          ,105,0,0
 AVHR          ,136,0,0
 RIML          ,325,0,0
 HSNL          ,120,0,0
ASHR ,496,0,0
 RMGR          ,91,0,0
 AVER          ,946,0,0
 HSNR          ,171,0,0
ASIL ,171,0,0
 RMFL          ,78,0,0
 SAAVL         ,120,0,0
ASIR ,120,0,0
 ASGR          ,55,0,0
ASJL ,91,0,0
 ASJR          ,6,0,0
 ASKR          ,15,0,0
 CEPDL         ,190,0,0
 PVQL          ,36,0,0
ASJR ,15,0,0
 PVQR          ,45,0,0
ASKL ,66,0,0
 AIML          ,28,0,0
