wbgene,symbol,sequence
WBGene00004278,rab-19,rab-19
WBGene00014938,mdt-9,mdt-9
WBGene00013379,Y62E10A.13,Y62E10A.13
WBGene00013382,gcl-1,gcl-1
WBGene00004029,pik-1,pik-1
WBGene00010711,K09B11.4,K09B11.4
WBGene00012868,tbc-9,tbc-9
WBGene00003582,dcap-2,dcap-2
WBGene00004681,rsd-2,rsd-2
WBGene00004265,qui-1,qui-1
WBGene00004430,rpl-18,rpl-18
WBGene00001635,gly-10,gly-10
WBGene00012890,lact-9,lact-9
WBGene00012885,iscu-1,iscu-1
WBGene00012889,icap-1,icap-1
WBGene00012887,Y45F10D.7,Y45F10D.7
WBGene00007197,prdh-1,prdh-1
WBGene00004443,rpl-29,rpl-29
WBGene00007195,thoc-7,thoc-7
WBGene00001562,lin-66,lin-66
WBGene00044989,Y37A1B.17,Y37A1B.17
WBGene00003085,ccar-1,ccar-1
WBGene00009924,cfp-1,cfp-1
WBGene00009925,F52B11.2,F52B11.2
WBGene00049680,21ur-863,21ur-863
WBGene00013415,ilcr-1,ilcr-1
WBGene00013455,ssu-2,ssu-2
WBGene00013456,Y67A10A.7,Y67A10A.7
WBGene00010086,F55B11.4,F55B11.4
WBGene00010793,LLC1.2,LLC1.2
WBGene00010794,dld-1,dld-1
WBGene00007058,dmd-6,dmd-6
WBGene00013326,anoh-2,anoh-2
WBGene00013303,Y57G11C.5,Y57G11C.5
WBGene00195043,Y57G11C.1135,Y57G11C.1135
WBGene00013302,vti-1,vti-1
WBGene00013301,Y57G11C.3,Y57G11C.3
WBGene00013332,Y57G11C.43,Y57G11C.43
WBGene00013325,Y57G11C.36,Y57G11C.36
WBGene00044258,Y57G11C.51,Y57G11C.51
WBGene00194649,Y57G11C.1130,Y57G11C.1130
WBGene00013307,Y57G11C.9,Y57G11C.9
WBGene00001558,gdi-1,gdi-1
WBGene00000763,coq-3,coq-3
WBGene00013308,nuo-3,nuo-3
WBGene00303007,Y57G11C.1147,Y57G11C.1147
WBGene00000192,arl-8,arl-8
WBGene00013310,Y57G11C.14,Y57G11C.14
WBGene00013311,sec-61.A,sec-61.A
WBGene00004487,rps-18,rps-18
WBGene00013317,Y57G11C.22,Y57G11C.22
WBGene00013327,Y57G11C.38,Y57G11C.38
WBGene00012762,Y41E3.1,Y41E3.1
WBGene00001066,dpy-4,dpy-4
WBGene00012765,Y41E3.7,Y41E3.7
WBGene00012767,fcd-2,fcd-2
WBGene00012766,Y41E3.8,Y41E3.8
WBGene00012768,eef-1B.2,eef-1B.2
WBGene00012769,hrpu-1,hrpu-1
WBGene00010951,M199.2,M199.2
WBGene00013518,Y73F8A.5,Y73F8A.5
WBGene00006441,cpna-4,cpna-4
WBGene00013529,Y73F8A.24,Y73F8A.24
WBGene00013530,ntl-11,ntl-11
WBGene00013531,Y73F8A.26,Y73F8A.26
WBGene00013535,gyg-3,gyg-3
WBGene00013538,ari-1.4,ari-1.4
WBGene00206491,Y73F8A.1173,Y73F8A.1173
WBGene00013632,Y105C5A.1,Y105C5A.1
WBGene00194913,Y105C5A.1272,Y105C5A.1272
WBGene00013639,Y105C5A.15,Y105C5A.15
WBGene00044995,Y105C5A.28,Y105C5A.28
WBGene00013640,Y105C5A.17,Y105C5A.17
WBGene00013642,daf-38,daf-38
WBGene00013647,Y105C5B.5,Y105C5B.5
WBGene00002175,jac-1,jac-1
WBGene00013098,Y51H4A.1,Y51H4A.1
WBGene00004357,rho-1,rho-1
WBGene00013106,set-26,set-26
WBGene00013109,Y51H4A.15,Y51H4A.15
WBGene00013111,sta-1,sta-1
WBGene00014975,Y116A8A.10,Y116A8A.10
WBGene00020284,mel-46,mel-46
WBGene00020287,lsy-13,lsy-13
WBGene00013790,Y116A8C.10,Y116A8C.10
WBGene00004403,rom-4,rom-4
WBGene00013802,Y116A8C.25,Y116A8C.25
WBGene00013803,snx-13,snx-13
WBGene00013804,Y116A8C.27,Y116A8C.27
WBGene00013805,bca-2,bca-2
WBGene00013807,Y116A8C.30,Y116A8C.30
WBGene00013808,sfa-1,sfa-1
WBGene00000889,cyn-13,cyn-13
WBGene00006698,uaf-2,uaf-2
WBGene00006405,itsn-1,itsn-1
WBGene00013998,gtf-2E1,gtf-2E1
WBGene00000224,atgp-1,atgp-1
WBGene00001606,gln-5,gln-5
WBGene00002005,hsp-1,hsp-1
WBGene00012128,nra-1,nra-1
WBGene00012130,slc-17.4,slc-17.4
WBGene00012131,T28F3.5,T28F3.5
WBGene00012134,T28F3.8,T28F3.8
WBGene00008193,C49C3.3,C49C3.3
WBGene00008194,C49C3.4,C49C3.4
WBGene00008195,ceh-88,ceh-88
WBGene00008196,C49C3.6,C49C3.6
WBGene00008197,C49C3.7,C49C3.7
WBGene00008204,C49C3.15,C49C3.15
WBGene00008198,C49C3.8,C49C3.8
WBGene00001811,haf-1,haf-1
WBGene00007824,dlat-2,dlat-2
WBGene00007825,C30H6.8,C30H6.8
WBGene00011372,npr-26,npr-26
WBGene00200385,C06A12.18,C06A12.18
WBGene00045013,F08A7.1,F08A7.1
WBGene00001240,elo-2,elo-2
WBGene00019184,H10E21.4,H10E21.4
WBGene00019185,H10E21.5,H10E21.5
WBGene00021042,btb-5,btb-5
WBGene00021043,pck-1,pck-1
WBGene00005014,spt-4,spt-4
WBGene00018795,F54C4.4,F54C4.4
WBGene00016216,pals-22,pals-22
WBGene00020540,pals-25,pals-25
WBGene00003510,mxl-2,mxl-2
WBGene00006715,ubc-20,ubc-20
WBGene00018240,cox-17,cox-17
WBGene00018239,sec-20,sec-20
WBGene00021754,hpo-29,hpo-29
WBGene00021753,Y50D7A.3,Y50D7A.3
WBGene00021752,xpd-1,xpd-1
WBGene00021757,taco-1,taco-1
WBGene00000081,ads-1,ads-1
WBGene00021758,Y50D7A.10,Y50D7A.10
WBGene00021756,Y50D7A.8,Y50D7A.8
WBGene00001561,gei-4,gei-4
WBGene00021909,Y55B1BL.1,Y55B1BL.1
WBGene00021910,stim-1,stim-1
WBGene00021913,cec-8,cec-8
WBGene00021912,Y55B1BR.2,Y55B1BR.2
WBGene00044401,Y55B1BR.6,Y55B1BR.6
WBGene00017328,nemp-1,nemp-1
WBGene00015155,B0353.1,B0353.1
WBGene00021904,gtf-2H5,gtf-2H5
WBGene00020560,T19C3.2,T19C3.2
WBGene00020562,T19C3.4,T19C3.4
WBGene00220072,T19C3.11,T19C3.11
WBGene00001412,fem-2,fem-2
WBGene00021063,sbds-1,sbds-1
WBGene00044319,tag-266,tag-266
WBGene00001709,grk-2,grk-2
WBGene00000882,cyn-6,cyn-6
WBGene00000117,alh-11,alh-11
WBGene00018364,dagl-2,dagl-2
WBGene00004922,snt-2,snt-2
WBGene00004498,rps-29,rps-29
WBGene00015173,trpp-11,trpp-11
WBGene00019327,zip-2,zip-2
WBGene00004388,rnp-5,rnp-5
WBGene00019334,K02F3.12,K02F3.12
WBGene00000202,exos-4.2,exos-4.2
WBGene00021170,arx-4,arx-4
WBGene00020761,T24C4.5,T24C4.5
WBGene00020762,zer-1,zer-1
WBGene00020763,ztf-18,ztf-18
WBGene00017758,F23H11.2,F23H11.2
WBGene00017763,crls-1,crls-1
WBGene00000263,F23H11.5,F23H11.5
WBGene00020457,fbxa-67,fbxa-67
WBGene00015267,chin-1,chin-1
WBGene00015266,BE0003N10.1,BE0003N10.1
WBGene00006697,uaf-1,uaf-1
WBGene00004277,rab-18,rab-18
WBGene00003917,par-2,par-2
WBGene00022104,acsd-1,acsd-1
WBGene00022106,lgc-46,lgc-46
WBGene00004891,smr-1,smr-1
WBGene00022492,dss-1,dss-1
WBGene00022489,Y119D3B.12,Y119D3B.12
WBGene00022497,Y119D3B.21,Y119D3B.21
WBGene00044675,fbxa-76,fbxa-76
WBGene00013841,fbxa-33,fbxa-33
WBGene00022354,Y82E9BR.22,Y82E9BR.22
WBGene00022347,Y82E9BR.14,Y82E9BR.14
WBGene00022336,Y82E9BR.3,Y82E9BR.3
WBGene00022348,Y82E9BR.16,Y82E9BR.16
WBGene00022350,Y82E9BR.18,Y82E9BR.18
WBGene00019716,M01G5.3,M01G5.3
WBGene00044341,ave-1,ave-1
WBGene00019715,M01G5.1,M01G5.1
WBGene00022054,Y67D2.4,Y67D2.4
WBGene00022055,Y67D2.5,Y67D2.5
WBGene00022053,cisd-3.2,cisd-3.2
WBGene00022057,Y67D2.7,Y67D2.7
WBGene00022051,rep-1,rep-1
WBGene00021246,Y22D7AL.7,Y22D7AL.7
WBGene00004894,sms-3,sms-3
WBGene00021248,Y22D7AL.10,Y22D7AL.10
WBGene00021265,Y22D7AR.12,Y22D7AR.12
WBGene00004779,ser-4,ser-4
WBGene00021442,Y39A3CL.4,Y39A3CL.4
WBGene00021441,Y39A3CL.3,Y39A3CL.3
WBGene00006513,rimb-1,rimb-1
WBGene00000545,clp-4,clp-4
WBGene00021443,Y39A3CL.7,Y39A3CL.7
WBGene00021444,ttc-7,ttc-7
WBGene00004886,smi-1,smi-1
WBGene00004128,pqn-41,pqn-41
WBGene00004491,rps-22,rps-22
WBGene00018723,F53A3.7,F53A3.7
WBGene00020115,mboa-6,mboa-6
WBGene00021437,lgc-42,lgc-42
WBGene00021436,Y39A3B.1,Y39A3B.1
WBGene00021439,ckr-2,ckr-2
WBGene00004088,ppk-2,ppk-2
WBGene00021697,gcn-1,gcn-1
WBGene00021861,Y54F10BM.6,Y54F10BM.6
WBGene00021863,Y54F10BM.9,Y54F10BM.9
WBGene00021866,Y54F10BM.12,Y54F10BM.12
WBGene00004016,phf-5,phf-5
WBGene00001589,gip-1,gip-1
WBGene00019200,H14E04.3,H14E04.3
WBGene00000506,cic-1,cic-1
WBGene00021021,mrpl-30,mrpl-30
WBGene00021022,W04B5.5,W04B5.5
WBGene00021019,W04B5.2,W04B5.2
WBGene00004884,smg-6,smg-6
WBGene00021847,Y54F10AL.1,Y54F10AL.1
WBGene00004314,rbc-2,rbc-2
WBGene00021849,Y54F10AM.5,Y54F10AM.5
WBGene00000464,ceh-44,ceh-44
WBGene00001410,feh-1,feh-1
WBGene00021855,Y54F10AR.2,Y54F10AR.2
WBGene00000160,apb-1,apb-1
WBGene00007019,mdt-19,mdt-19
WBGene00022198,Y71H2B.11,Y71H2B.11
WBGene00022193,ppfr-4,ppfr-4
WBGene00022192,Y71H2B.2,Y71H2B.2
WBGene00022175,Y71H2AM.10,Y71H2AM.10
WBGene00022176,Y71H2AM.11,Y71H2AM.11
WBGene00022172,cosa-1,cosa-1
WBGene00022182,swsn-3,swsn-3
WBGene00002244,laf-1,laf-1
WBGene00022171,Y71H2AM.6,Y71H2AM.6
WBGene00022185,Y71H2AM.20,Y71H2AM.20
WBGene00022170,cox-6B,cox-6B
WBGene00022169,Y71H2AM.4,Y71H2AM.4
WBGene00044609,tbcc-1,tbcc-1
WBGene00007000,tufm-1,tufm-1
WBGene00303208,Y71H2AM.29,Y71H2AM.29
WBGene00022190,josd-1,josd-1
WBGene00018989,F56F11.2,F56F11.2
WBGene00018988,F56F11.1,F56F11.1
WBGene00020597,T20B6.1,T20B6.1
WBGene00219718,linc-42,linc-42
WBGene00019157,H05C05.1,H05C05.1
WBGene00019158,H05C05.2,H05C05.2
WBGene00021918,Y55D5A.4,Y55D5A.4
WBGene00000898,daf-2,daf-2
WBGene00019170,H06I04.6,H06I04.6
WBGene00006725,ubl-1,ubl-1
WBGene00004787,sft-1,sft-1
WBGene00019167,H06I04.1,H06I04.1
WBGene00021817,Y53G8B.1,Y53G8B.1
WBGene00003175,mec-12,mec-12
WBGene00016635,C44B11.6,C44B11.6
WBGene00020102,R148.3,R148.3
WBGene00020101,lmtr-5,lmtr-5
WBGene00020105,R148.7,R148.7
WBGene00006452,heh-1,heh-1
WBGene00001494,frm-8,frm-8
WBGene00021800,nduf-9,nduf-9
WBGene00021808,Y53G8AM.8,Y53G8AM.8
WBGene00021815,Y53G8AR.8,Y53G8AR.8
WBGene00021812,Y53G8AR.5,Y53G8AR.5
WBGene00021816,Y53G8AR.9,Y53G8AR.9
WBGene00021810,phf-15,phf-15
WBGene00010303,cri-3,cri-3
WBGene00010304,clpf-1,clpf-1
WBGene00003795,npp-9,npp-9
WBGene00010305,F59A2.5,F59A2.5
WBGene00010306,golg-4,golg-4
WBGene00010450,metl-18,metl-18
WBGene00007921,C34C12.2,C34C12.2
WBGene00007922,pph-6,pph-6
WBGene00007924,rsu-1,rsu-1
WBGene00010814,M01F1.8,M01F1.8
WBGene00004428,rpl-16,rpl-16
WBGene00010809,M01F1.3,M01F1.3
WBGene00010810,M01F1.4,M01F1.4
WBGene00010813,pitp-1,pitp-1
WBGene00004451,rpl-37,rpl-37
WBGene00008288,C54C6.6,C54C6.6
WBGene00000248,ben-1,ben-1
WBGene00044166,C54C6.7,C54C6.7
WBGene00008287,C54C6.5,C54C6.5
WBGene00003605,nhr-6,nhr-6
WBGene00004213,ptp-1,ptp-1
WBGene00004765,sel-8,sel-8
WBGene00007860,rilp-1,rilp-1
WBGene00008117,gsr-1,gsr-1
WBGene00008120,C46F11.5,C46F11.5
WBGene00008119,C46F11.4,C46F11.4
WBGene00008121,C46F11.6,C46F11.6
WBGene00007574,C14B1.3,C14B1.3
WBGene00006474,wdr-5.1,wdr-5.1
WBGene00007581,alkb-8,alkb-8
WBGene00007577,nrde-1,nrde-1
WBGene00009372,evl-18,evl-18
WBGene00009373,F34D10.3,F34D10.3
WBGene00002267,lec-4,lec-4
WBGene00000070,acy-3,acy-3
WBGene00003476,mtm-3,mtm-3
WBGene00001086,dpy-27,dpy-27
WBGene00000137,amx-1,amx-1
WBGene00007970,C36A4.10,C36A4.10
WBGene00194650,C36A4.14,C36A4.14
WBGene00007967,cyp-25A4,cyp-25A4
WBGene00007969,acs-19,acs-19
WBGene00004414,rpl-3,rpl-3
WBGene00006575,tir-1,tir-1
WBGene00014202,mmcm-1,mmcm-1
WBGene00014204,ccdc-47,ccdc-47
WBGene00003748,nlp-10,nlp-10
WBGene00009503,F37A8.5,F37A8.5
WBGene00003423,msi-1,msi-1
WBGene00012379,Y1A5A.1,Y1A5A.1
WBGene00006537,tbb-2,tbb-2
WBGene00011367,snpc-3.4,snpc-3.4
WBGene00004322,rcq-5,rcq-5
WBGene00006811,unc-79,unc-79
WBGene00002202,kin-19,kin-19
WBGene00006830,unc-103,unc-103
WBGene00007630,har-1,har-1
WBGene00006448,glod-4,glod-4
WBGene00004381,rnf-5,rnf-5
WBGene00007627,ccdc-55,ccdc-55
WBGene00007626,rnf-121,rnf-121
WBGene00007625,C16C10.4,C16C10.4
WBGene00003073,lars-1,lars-1
WBGene00001034,dnj-16,dnj-16
WBGene00006959,xbp-1,xbp-1
WBGene00011279,asd-1,asd-1
WBGene00011282,R74.8,R74.8
WBGene00003401,mpk-1,mpk-1
WBGene00003619,nhr-20,nhr-20
WBGene00023422,mrpl-21,mrpl-21
WBGene00009648,zhit-2,zhit-2
WBGene00012858,Y44F5A.1,Y44F5A.1
WBGene00011604,T08A11.1,T08A11.1
WBGene00011605,sftb-1,sftb-1
WBGene00011198,R10E4.1,R10E4.1
WBGene00006331,sup-26,sup-26
WBGene00011205,R10E4.9,R10E4.9
WBGene00001352,evl-14,evl-14
WBGene00010428,dcn-1,dcn-1
WBGene00007136,B0285.3,B0285.3
WBGene00007137,lcmt-1,lcmt-1
WBGene00002003,hse-5,hse-5
WBGene00000512,ckb-2,ckb-2
WBGene00007131,pals-26,pals-26
WBGene00007133,B0284.3,B0284.3
WBGene00011111,snfc-5,snfc-5
WBGene00004387,rnp-4,rnp-4
WBGene00011110,prdx-3,prdx-3
WBGene00011109,R07E5.1,R07E5.1
WBGene00011119,mpc-1,mpc-1
WBGene00011117,R07E5.11,R07E5.11
WBGene00011116,pdcd-2,pdcd-2
WBGene00303105,R07E5.19,R07E5.19
WBGene00011115,R07E5.7,R07E5.7
WBGene00000520,cku-80,cku-80
WBGene00004132,ifet-1,ifet-1
WBGene00004470,rps-1,rps-1
WBGene00002100,ins-17,ins-17
WBGene00000223,atf-7,atf-7
WBGene00000380,cct-5,cct-5
WBGene00000396,cdh-4,cdh-4
WBGene00010909,cisd-3.1,cisd-3.1
WBGene00010908,imph-1,imph-1
WBGene00003915,pan-1,pan-1
WBGene00009439,mlcd-1,mlcd-1
WBGene00009440,idhg-1,idhg-1
WBGene00004762,sel-5,sel-5
WBGene00009445,F35G12.12,F35G12.12
WBGene00009443,F35G12.7,F35G12.7
WBGene00009444,erh-2,erh-2
WBGene00000145,apc-11,apc-11
WBGene00000206,asb-1,asb-1
WBGene00004760,sel-2,sel-2
WBGene00003112,mab-21,mab-21
WBGene00011957,T23F11.6,T23F11.6
WBGene00011953,ppm-2,ppm-2
WBGene00011955,cdka-1,cdka-1
WBGene00011410,T04A8.8,T04A8.8
WBGene00011409,T04A8.7,T04A8.7
WBGene00001036,dnj-18,dnj-18
WBGene00011411,sel-13,sel-13
WBGene00000543,clp-2,clp-2
WBGene00011412,mrpl-16,mrpl-16
WBGene00119203,T04A8.18,T04A8.18
WBGene00001259,emb-5,emb-5
WBGene00000068,acy-1,acy-1
WBGene00008910,F17C8.3,F17C8.3
WBGene00185014,F17C8.9,F17C8.9
WBGene00007173,B0393.8,B0393.8
WBGene00004469,rps-0,rps-0
WBGene00007167,rbg-3,rbg-3
WBGene00008008,metl-5,metl-5
WBGene00017804,F26A1.6,F26A1.6
WBGene00000418,ced-4,ced-4
WBGene00016444,C35D10.7,C35D10.7
WBGene00016443,C35D10.6,C35D10.6
WBGene00016446,C35D10.10,C35D10.10
WBGene00016442,C35D10.5,C35D10.5
WBGene00016452,C35D10.17,C35D10.17
WBGene00016448,C35D10.12,C35D10.12
WBGene00000204,arx-6,arx-6
WBGene00016439,C35D10.1,C35D10.1
WBGene00017828,F26F4.6,F26F4.6
WBGene00003598,nhl-2,nhl-2
WBGene00017826,tag-340,tag-340
WBGene00017831,F26F4.12,F26F4.12
WBGene00017829,F26F4.9,F26F4.9
WBGene00017825,cee-1,cee-1
WBGene00004679,rars-1,rars-1
WBGene00006735,ula-1,ula-1
WBGene00016144,mmab-1,mmab-1
WBGene00016145,C26E6.12,C26E6.12
WBGene00016143,eri-9,eri-9
WBGene00016142,mrps-18C,mrps-18C
WBGene00001499,fsn-1,fsn-1
WBGene00016140,rpb-2,rpb-2
WBGene00016138,flh-2,flh-2
WBGene00016166,C27F2.4,C27F2.4
WBGene00016167,vps-22,vps-22
WBGene00003558,nca-2,nca-2
WBGene00016169,C27F2.7,C27F2.7
WBGene00016171,C27F2.10,C27F2.10
WBGene00016170,tmem-131,tmem-131
WBGene00020098,R144.10,R144.10
WBGene00020096,R144.6,R144.6
WBGene00043060,R144.12,R144.12
WBGene00020099,R144.11,R144.11
WBGene00020097,larp-1,larp-1
WBGene00007015,mdt-11,mdt-11
WBGene00020093,R144.3,R144.3
WBGene00044648,R144.13,R144.13
WBGene00020092,pcf-11,pcf-11
WBGene00016678,txbp-3,txbp-3
WBGene00016674,C45G9.2,C45G9.2
WBGene00000107,alh-1,alh-1
WBGene00006519,cox-6A,cox-6A
WBGene00018802,F54D8.6,F54D8.6
WBGene00004728,sax-2,sax-2
WBGene00021900,Y54H5A.2,Y54H5A.2
WBGene00021901,rbm-42,rbm-42
WBGene00021902,oxy-4,oxy-4
WBGene00044604,T10F2.5,T10F2.5
WBGene00001744,gars-1,gars-1
WBGene00020422,T10F2.2,T10F2.2
WBGene00006736,ulp-1,ulp-1
WBGene00020423,prp-19,prp-19
WBGene00019630,emb-1,emb-1
WBGene00019628,pup-2,pup-2
WBGene00022534,syx-16,syx-16
WBGene00003588,nex-1,nex-1
WBGene00000229,atp-2,atp-2
WBGene00016409,sumv-1,sumv-1
WBGene00001660,gop-1,gop-1
WBGene00001662,gop-3,gop-3
WBGene00001740,gro-1,gro-1
WBGene00022598,ztf-8,ztf-8
WBGene00022599,daf-41,daf-41
WBGene00006590,toc-1,toc-1
WBGene00000536,clk-1,clk-1
WBGene00003391,mog-3,mog-3
WBGene00004095,pqe-1,pqe-1
WBGene00018674,F52C9.3,F52C9.3
WBGene00022663,glrx-21,glrx-21
WBGene00021311,thoc-5,thoc-5
WBGene00021312,szy-2,szy-2
WBGene00021314,Y32H12A.6,Y32H12A.6
WBGene00021315,Y32H12A.7,Y32H12A.7
WBGene00021316,Y32H12A.8,Y32H12A.8
WBGene00020779,T24G10.2,T24G10.2
WBGene00018612,disl-2,disl-2
WBGene00003901,paa-1,paa-1
WBGene00018611,F48E8.4,F48E8.4
WBGene00018610,F48E8.3,F48E8.3
WBGene00018609,F48E8.2,F48E8.2
WBGene00019831,R02F2.1,R02F2.1
WBGene00017304,nmad-1,nmad-1
WBGene00017301,hach-1,hach-1
WBGene00003371,mlc-3,mlc-3
WBGene00018967,ddx-15,ddx-15
WBGene00018963,ucr-1,ucr-1
WBGene00000420,ced-6,ced-6
WBGene00015470,C05D2.10,C05D2.10
WBGene00015468,madf-11,madf-11
WBGene00000900,daf-4,daf-4
WBGene00000518,ckk-1,ckk-1
WBGene00003918,par-3,par-3
WBGene00018831,F54E7.9,F54E7.9
WBGene00004481,rps-12,rps-12
WBGene00004435,rpl-23,rpl-23
WBGene00004321,rcan-1,rcan-1
WBGene00015150,B0336.13,B0336.13
WBGene00015147,B0336.7,B0336.7
WBGene00002982,lgg-3,lgg-3
WBGene00006359,swp-1,swp-1
WBGene00000182,arf-1.2,arf-1.2
WBGene00006943,wrm-1,wrm-1
WBGene00002048,ida-1,ida-1
WBGene00015086,B0244.11,B0244.11
WBGene00021343,cutl-23,cutl-23
WBGene00021345,Y37B11A.3,Y37B11A.3
WBGene00020018,R12B2.2,R12B2.2
WBGene00004858,sma-4,sma-4
WBGene00044411,R12B2.8,R12B2.8
WBGene00007016,mdt-15,mdt-15
WBGene00020020,R12B2.6,R12B2.6
WBGene00017162,ddx-23,ddx-23
WBGene00017163,dnpp-1,dnpp-1
WBGene00017161,rabn-5,rabn-5
WBGene00017164,eng-1,eng-1
WBGene00017169,F01F1.15,F01F1.15
WBGene00017165,F01F1.11,F01F1.11
WBGene00017160,F01F1.3,F01F1.3
WBGene00017158,hpo-10,hpo-10
WBGene00016200,dpff-1,dpff-1
WBGene00016195,erd-2.2,erd-2.2
WBGene00016194,C28H8.3,C28H8.3
WBGene00016201,tdo-2,tdo-2
WBGene00001018,dnc-2,dnc-2
WBGene00016192,bcl-7,bcl-7
WBGene00271775,EGAP1.5,EGAP1.5
WBGene00006727,ubq-1,ubq-1
WBGene00017777,F25B5.6,F25B5.6
WBGene00017775,F25B5.3,F25B5.3
WBGene00017778,nono-1,nono-1
WBGene00017774,nop-1,nop-1
WBGene00197906,T04C9.7,T04C9.7
WBGene00020209,T04C9.1,T04C9.1
WBGene00001166,eftu-2,eftu-2
WBGene00003796,npp-10,npp-10
WBGene00000874,cyk-3,cyk-3
WBGene00020549,nmt-1,nmt-1
WBGene00002201,kin-18,kin-18
WBGene00021534,mvk-1,mvk-1
WBGene00003593,nfm-1,nfm-1
WBGene00001160,efk-1,efk-1
WBGene00018341,F42A10.5,F42A10.5
WBGene00004459,rpn-2,rpn-2
WBGene00016015,C23G10.8,C23G10.8
WBGene00004472,rps-3,rps-3
WBGene00016011,C23G10.2,C23G10.2
WBGene00020443,esyt-2,esyt-2
WBGene00020441,bcas-2,bcas-2
WBGene00020442,gen-1,gen-1
WBGene00015978,C18F10.7,C18F10.7
WBGene00001972,hmg-1.2,hmg-1.2
WBGene00018562,F47D12.6,F47D12.6
WBGene00018560,F47D12.3,F47D12.3
WBGene00018564,F47D12.9,F47D12.9
WBGene00001518,gar-2,gar-2
WBGene00002891,let-767,let-767
WBGene00016981,rpn-13,rpn-13
WBGene00016977,akap-1,akap-1
WBGene00016983,C56G2.15,C56G2.15
WBGene00015813,thoc-2,thoc-2
WBGene00004482,rps-13,rps-13
WBGene00007048,nfx-1,nfx-1
WBGene00015811,C16A3.6,C16A3.6
WBGene00015810,C16A3.5,C16A3.5
WBGene00015809,C16A3.4,C16A3.4
WBGene00002850,let-716,let-716
WBGene00015807,C16A3.2,C16A3.2
WBGene00015806,smrc-1,smrc-1
WBGene00015814,oatr-1,oatr-1
WBGene00015483,C05D11.5,C05D11.5
WBGene00015484,atgl-1,atgl-1
WBGene00015485,C05D11.8,C05D11.8
WBGene00015486,C05D11.9,C05D11.9
WBGene00006515,txdc-9,txdc-9
WBGene00006516,vps-16,vps-16
WBGene00015481,C05D11.1,C05D11.1
WBGene00003214,mel-32,mel-32
WBGene00015488,C05D11.13,C05D11.13
WBGene00002855,let-721,let-721
WBGene00004781,set-1,set-1
WBGene00020821,jhdm-1,jhdm-1
WBGene00020820,algn-1,algn-1
WBGene00020823,T26A5.8,T26A5.8
WBGene00001005,dlc-1,dlc-1
WBGene00004503,rpt-3,rpt-3
WBGene00044295,C09E7.10,C09E7.10
WBGene00003859,oig-1,oig-1
WBGene00004102,pqn-10,pqn-10
WBGene00015638,C09E7.4,C09E7.4
WBGene00015641,C09E7.7,C09E7.7
WBGene00015642,C09E7.8,C09E7.8
WBGene00017849,F27B3.7,F27B3.7
WBGene00017646,F20H11.1,F20H11.1
WBGene00003162,mdh-2,mdh-2
WBGene00015734,copd-1,copd-1
WBGene00015735,pdfr-1,pdfr-1
WBGene00004316,rbf-1,rbf-1
WBGene00002169,isw-1,isw-1
WBGene00018132,F37A4.2,F37A4.2
WBGene00018131,F37A4.1,F37A4.1
WBGene00022420,wdr-4,wdr-4
WBGene00017904,lim-8,lim-8
WBGene00006498,ten-1,ten-1
WBGene00020068,cra-1,cra-1
WBGene00019381,K04C2.3,K04C2.3
WBGene00019380,K04C2.2,K04C2.2
WBGene00020315,T07E3.4,T07E3.4
WBGene00020317,pdf-1,pdf-1
WBGene00002083,inf-1,inf-1
WBGene00000762,coq-2,coq-2
WBGene00002845,let-711,let-711
WBGene00004462,rpn-6.1,rpn-6.1
WBGene00017951,panl-2,panl-2
WBGene00001168,eef-1A.1,eef-1A.1
WBGene00017950,F31E3.2,F31E3.2
WBGene00000443,ceh-20,ceh-20
WBGene00017952,F31E3.6,F31E3.6
WBGene00023414,R01H2.7,R01H2.7
WBGene00006713,ubc-18,ubc-18
WBGene00003022,lin-37,lin-37
WBGene00022734,ZK418.5,ZK418.5
WBGene00022738,fubl-2,fubl-2
WBGene00015101,rpia-1,rpia-1
WBGene00015105,pot-1,pot-1
WBGene00015099,ggtb-1,ggtb-1
WBGene00003858,ogt-1,ogt-1
WBGene00019401,nuo-4,nuo-4
WBGene00004390,rnp-7,rnp-7
WBGene00019402,syf-2,syf-2
WBGene00018152,acs-4,acs-4
WBGene00004483,rps-14,rps-14
WBGene00004450,rpl-36,rpl-36
WBGene00018151,F37C12.3,F37C12.3
WBGene00018150,epg-4,epg-4
WBGene00018149,F37C12.1,F37C12.1
WBGene00004490,rps-21,rps-21
WBGene00018154,exos-9,exos-9
WBGene00004417,rpl-6,rpl-6
WBGene00020107,R151.2,R151.2
WBGene00020109,R151.6,R151.6
WBGene00020111,R151.8,R151.8
WBGene00000080,adr-2,adr-2
WBGene00020636,T20H4.5,T20H4.5
WBGene00004189,pars-1,pars-1
WBGene00015161,pho-5,pho-5
WBGene00015164,ykt-6,ykt-6
WBGene00015162,algn-11,algn-11
WBGene00015156,B0361.2,B0361.2
WBGene00018954,F56C9.11,F56C9.11
WBGene00018953,F56C9.10,F56C9.10
WBGene00001748,gsp-2,gsp-2
WBGene00002182,kap-1,kap-1
WBGene00017271,F08F8.6,F08F8.6
WBGene00017272,F08F8.7,F08F8.7
WBGene00017273,gos-28,gos-28
WBGene00017274,F08F8.9,F08F8.9
WBGene00017275,F08F8.10,F08F8.10
WBGene00017268,hmgr-1,hmgr-1
WBGene00017269,F08F8.4,F08F8.4
WBGene00003378,mml-1,mml-1
