gene,mean_members,mean_control,effect_size,pval,qval
WBGene00004928,0.019675925925925927,0.24219096965210954,-0.2225150437261836,5.594388827918807e-09,6.222788246262755e-07
WBGene00006947,0.14794973544973547,0.5993831729583023,-0.4514334375085669,5.650478866198172e-09,6.231413596408085e-07
WBGene00007652,0.11491402116402116,0.663607204539847,-0.5486931833758258,5.657609923304327e-09,6.231413596408085e-07
WBGene00002023,3.6746362433862427,13.183666419935848,-9.509030176549606,5.779829757033937e-09,6.334975356624171e-07
WBGene00044011,0.008796296296296297,0.4480631630890698,-0.4392668667927735,5.8481731814813975e-09,6.378767146344928e-07
WBGene00000044,0.027083333333333334,0.3791512459906242,-0.35206791265729087,6.107321845747848e-09,6.618542243555062e-07
WBGene00004324,0.43412698412698414,0.8844066123858869,-0.4502796282589028,6.126916136274214e-09,6.618542243555062e-07
WBGene00269379,0.0,0.12032239493379389,-0.12032239493379389,6.375371751876096e-09,6.853982195832727e-07
WBGene00020999,1.2740079365079364,2.5313430380787896,-1.2573351015708532,6.5117353593218175e-09,6.967246751838187e-07
WBGene00004729,2.824900793650794,7.12424541491899,-4.299344621268196,6.547006825515538e-09,6.971786557464864e-07
WBGene00000040,0.24606481481481482,0.6078624886915043,-0.3617976738766895,6.649251972397541e-09,7.047266158858507e-07
WBGene00009692,1163.3917658730159,3067.8569619212103,-1904.4651960481945,6.901962596131626e-09,7.280760449412278e-07
WBGene00003911,0.4820436507936508,2.351517394522576,-1.869473743728925,7.025009055345016e-09,7.375931236661083e-07
WBGene00044322,0.4299272486772487,0.9213997861666257,-0.49147253748937697,7.571146401317584e-09,7.912376208893246e-07
WBGene00010307,0.3031746031746032,0.6397483345669874,-0.3365737313923842,7.638814574865636e-09,7.946135401974814e-07
WBGene00013038,0.03273809523809523,0.2767579570688379,-0.24401986183074265,8.132576874307459e-09,8.34387533282257e-07
WBGene00016019,0.8590608465608466,1.904918167612468,-1.0458573210516215,8.12627421034315e-09,8.34387533282257e-07
WBGene00009691,1149.6723875661376,3063.651509170162,-1913.9791216040246,8.130942941947566e-09,8.34387533282257e-07
WBGene00002216,1.2575066137566138,3.0700468788551687,-1.812540265098555,8.237890980558788e-09,8.375437667066762e-07
WBGene00006743,0.410978835978836,6.928267127230858,-6.517288291252022,8.230529470218073e-09,8.375437667066762e-07
WBGene00007014,0.5639880952380952,1.0607944732297065,-0.4968063779916113,8.307474060596497e-09,8.408136696736158e-07
WBGene00018991,0.0,0.046632124352331605,-0.046632124352331605,8.405552125741206e-09,8.469253395214312e-07
WBGene00015942,2.655654761904762,7.217024426350852,-4.56136966444609,8.453505196675995e-09,8.479545011790756e-07
WBGene00022610,0.11276455026455025,0.4005345834361378,-0.28777003317158756,8.58016667555228e-09,8.568345112577074e-07
WBGene00020215,0.020535714285714282,0.3937165885352414,-0.3731808742495271,9.055361787563735e-09,9.002872743573874e-07
WBGene00000617,0.008333333333333333,0.10086355785837649,-0.09253022452504316,9.221993714380941e-09,9.128148756318299e-07
WBGene00008275,0.7030092592592593,1.657216876387861,-0.9542076171286017,9.460524500184963e-09,9.323180920818242e-07
WBGene00002020,0.6839285714285714,1.7842421251747678,-1.1003135537461963,9.763099733431606e-09,9.5793488170513e-07
WBGene00008666,0.2958002645502646,1.502245250431779,-1.2064449858815143,9.956852419444062e-09,9.726979000542984e-07
WBGene00012460,0.0843584656084656,0.22264988897113253,-0.13829142336266692,1.0479255333832504e-08,1.0149068452408728e-06
WBGene00050927,0.6355820105820106,1.819771362776544,-1.1841893521945335,1.0443262926286252e-08,1.0149068452408728e-06
WBGene00010488,2.349437830687831,5.100690846286701,-2.7512530155988704,1.0543997640313052e-08,1.0167943475544806e-06
WBGene00018240,0.5414021164021164,1.259708857636319,-0.7183067412342025,1.06270138911734e-08,1.0204204064990391e-06
WBGene00001400,0.17754629629629629,5.752923760177646,-5.57537746388135,1.0879529343231608e-08,1.0402218928215786e-06
