Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
pm7vr ,18.0,8.166666666666666,18.0
pm8 ,36.0,8.083333333333334,36.0
sph ,36.0,0.0,36.0
um1aL ,48.0,0.0,48.0
um1aR ,48.0,0.0,48.0
um1pL ,48.0,0.0,48.0
um1pR ,48.0,0.0,48.0
um2aL  ,24.0,0.0,24.0
um2aR ,24.0,0.0,24.0
um2pL ,24.0,0.0,24.0
um2pR ,24.0,0.0,24.0
vBWML1 ,90.0,0.0,90.0
vBWML10 ,90.0,0.0,90.0
vBWML11 ,90.0,0.0,90.0
vBWML12 ,90.0,0.0,90.0
vBWML13 ,90.0,0.0,90.0
vBWML14 ,90.0,0.0,90.0
vBWML15 ,90.0,0.0,90.0
vBWML16 ,90.0,0.0,90.0
vBWML17 ,90.0,0.0,90.0
vBWML18 ,90.0,0.0,90.0
vBWML19 ,90.0,0.0,90.0
vBWML2 ,90.0,0.0,90.0
vBWML20 ,90.0,0.0,90.0
vBWML21 ,90.0,0.0,90.0
vBWML22 ,90.0,0.0,90.0
vBWML23 ,45.0,0.0,45.0
vBWML3 ,135.0,0.0,135.0
vBWML4 ,90.0,0.0,90.0
vBWML5 ,90.0,0.0,90.0
vBWML6 ,90.0,0.0,90.0
vBWML7 ,90.0,0.0,90.0
vBWML8 ,96.0,0.0,96.0
vBWML9 ,96.0,0.0,96.0
vBWMR1 ,90.0,0.0,90.0
vBWMR10 ,90.0,0.0,90.0
vBWMR11 ,90.0,0.0,90.0
vBWMR12 ,90.0,0.0,90.0
vBWMR13 ,90.0,0.0,90.0
vBWMR14 ,90.0,0.0,90.0
vBWMR15 ,90.0,0.0,90.0
vBWMR16 ,90.0,0.0,90.0
vBWMR17 ,90.0,0.0,90.0
vBWMR18 ,90.0,0.0,90.0
vBWMR19 ,90.0,0.0,90.0
vBWMR2 ,90.0,0.0,90.0
vBWMR20 ,90.0,0.0,90.0
vBWMR21 ,90.0,0.0,90.0
vBWMR22 ,90.0,0.0,90.0
vBWMR23 ,90.0,0.0,90.0
vBWMR24 ,45.0,0.0,45.0
vBWMR3 ,135.0,0.0,135.0
vBWMR4 ,90.0,0.0,90.0
vBWMR5 ,90.0,0.0,90.0
vBWMR6 ,90.0,0.0,90.0
vBWMR7 ,90.0,0.0,90.0
vBWMR8 ,102.0,0.0,102.0
vBWMR9 ,90.0,0.0,90.0
vm1aL ,36.0,0.0,36.0
vm1aR ,36.0,0.0,36.0
vm1pL ,36.0,0.0,36.0
vm1pR ,36.0,0.0,36.0
vm2aL  ,42.0,0.0,42.0
